"ID","First Name","Last Name","Birthday","Position","Hourly Rate","Status","SSS Number","PhilHealth Number","TIN","Pag-IBIG"
"10001","Manuel III","Garcia","10/11/1983","Chief Executive Officer","535.71","Regular","44-4506057-3","820126853951","442-605-657-000","691295330870"
"10002","Antonio","Lim","06/19/1983","Chief Operating Officer","357.14","Regular","52-2061274-9","331735646338","683-102-776-000","663904995411"
"10003","Bianca Sofia","Aquino","08/04/1989","Chief Finance Officer","357.14","regular","30-8870406-2","177451189665","971-711-280-000","171519773969"
"10004","Isabella","Reyes","06/16/1994","Chief Marketing Officer","357.14","Regular","40-2511815-0","341911411254","876-809-437-000","416946776041"
"10005","Eduard","Hernandez","09/23/1989","IT Operations and System","313.51","Regular","50-5577638-1","957436191812","031-702-374-000","952347222457"
"10006","Andrea Mae","Villanueva","02/14/1988","HR Manager","313.51","Regular","49-1632020-8","382189453145","317-674-022-000","441093369646"
"10007","Brad","San Jose","03/15/1996","HR Team Leader","255.8","Regular","50-2400714-1","239192926939","672-474-690-000","210850209964"
"10008","Alice","Romualdez","05/14/1992","HR Rank and File","133.93","Regular","55-4476527-2","545652640232","888-572-294-000","211385556888"
"10009","Rosie","Atienza","09/24/1948","HR Rank and File","133.93","Regular","41-0644692-3","708988234853","604-997-793-000","260107732354"
"10010","Roderick","Alvaro","03/30/1988","Accounting Head","313.51","Regular","64-7605054-4","578114853194","525-420-419-000","799254095212"
"10011","Anthony","Salcedo","09/14/1993","Payroll Manager","302.53","Regular","26-9647608-3","126445315651","210-805-911-000","218002473454"
"10012","Josie","Lopez","01/14/1987","Payroll Team Leader","229.02","Regular","44-8563448-3","431709011012","218-489-737-000","113071293354"
"10013","Martha","Farala","01/11/1942","Payroll Rank and File","142.86","Regular","45-5656375-0","233693897247","210-835-851-000","631130283546"

